continent,region,country,pop2018,cbr,cdr,rate_inc,netmig,projpop2030,projpop2050,imr,tfr,gnigdp,pcturban,popdens,pctwomcontra_all,pctwomcontra_mod,pctmalehiv,pctfemhiv,e0male,e0female,e65male,e65female,pctlt15_2018,pctlt15_2050,pct65p_2018,pct65p_2050
OCEANIA,OCEANIA,Palau,0,12,10,0.2,1,0,0,17,2,13950,80,1782.0,33,30,,,70,77,,,21,,7,
ASIA,WESTERN ASIA,Palestinian Territory,4.8,31,4,2.7,-2,6.2,8.4,18,4.1,5560,76,7566.0,57,44,,,72,75,14,16,39,28,3,7
NORTHERN AMERICA,CENTRAL AMERICA,Panama,4.2,19,5,1.4,1,4.9,5.8,14,2.4,21890,69,739.0,63,60,1.3,0.6,75,81,19,22,27,20,8,18
OCEANIA,OCEANIA,Papua New Guinea,8.5,29,7,2.2,0,10.9,15.4,46,3.8,4040,13,2828.0,32,24,0.7,1,63,68,12,15,36,27,4,7
SOUTH AMERICA,SOUTH AMERICA,Paraguay,6.9,21,6,1.5,-2,7.8,8.9,17,2.5,9180,61,144.0,68,67,0.6,0.3,71,75,17,19,30,20,6,13
SOUTH AMERICA,SOUTH AMERICA,Peru,32.2,19,6,1.4,-1,36.4,41.1,16,2.4,12890,78,775.0,76,54,0.5,0.2,72,78,17,19,27,19,7,17
ASIA,SOUTHEAST ASIA,Philippines,107,21,6,1.5,-1,126,152,21,2.7,10030,47,1914.0,54,40,0.2,0.1,66,73,13,15,32,24,5,10
EUROPE,EASTERN EUROPE,Poland,38.4,11,11,0,0,37.2,34,4,1.4,28170,60,353.0,51,41,,,74,82,16,20,15,12,17,32
EUROPE,SOUTHERN EUROPE,Portugal,10.3,8,11,-0.2,0,10,9.2,2.6,1.4,31490,65,908.0,74,67,0.8,0.3,78,83,18,22,14,12,21,36
NORTHERN AMERICA,CARIBBEAN,Puerto Rico,3.3,7,9,-0.2,-17,3.2,2.9,7,1.1,25240,94,5352.0,84,72,,,78,84,18,22,16,13,19,28
ASIA,WESTERN ASIA,Qatar,2.7,10,1,0.9,28,3.2,3.8,6,1.9,128060,100,20571.0,38,34,0.2,0.1,77,80,17,18,14,11,1,13
AFRICA,EASTERN AFRICA,Réunion,0.9,16,6,1,-4,0.9,1,7,2.4,,100,2539.0,,,,,78,84,18,22,24,17,11,25
EUROPE,EASTERN EUROPE,Romania,19.5,10,13,-0.4,-2,17.9,15.1,7.1,1.4,25150,54,222.0,70,51,0.2,0.1,72,79,15,18,16,14,18,28
EUROPE,EASTERN EUROPE,Russia,147.3,12,12,-0.1,2,146.1,137.9,5.5,1.6,24893,74,120.0,68,55,1.4,0.9,68,78,13,18,18,17,14,22
AFRICA,EASTERN AFRICA,Rwanda,12.6,32,6,2.6,-1,16.6,24.3,32,4.2,1990,19,1091.0,53,48,1.9,3.4,65,69,14,15,40,27,3,8
NORTHERN AMERICA,CARIBBEAN,Saint Lucia,0.2,12,6,0.7,-3,0.2,0.2,18,1.5,13230,19,5780.0,56,53,,,75,83,16,20,20,13,11,25
OCEANIA,OCEANIA,Samoa,0.2,25,4,2,-13,0.2,0.3,14,3.8,6390,19,2483.0,27,24,,,74,76,14,19,38,28,5,11
EUROPE,SOUTHERN EUROPE,San Marino,0,7,8,-0.2,5,0,0,3.8,1,,97,3336.0,,,,,82,87,,,15,,18,
AFRICA,MIDDLE AFRICA,São Tomé and Príncipe,0.2,33,7,2.6,-5,0.3,0.3,38,4.4,3370,73,2425.0,41,37,,,65,69,14,15,42,32,4,6
ASIA,WESTERN ASIA,Saudi Arabia,33.4,17,3,1.4,11,39.3,44.9,12,2.4,54770,84,954.0,25,21,,,73,76,14,16,25,17,3,17
AFRICA,WESTERN AFRICA,Senegal,16.3,33,6,2.7,-1,22.1,34,42,4.6,2620,46,509.0,28,26,0.3,0.6,65,69,13,14,43,33,3,5
EUROPE,SOUTHERN EUROPE,Serbia,7,9,14,-0.5,3,8.1,6.7,5.4,1.5,14040,60,271.0,58,18,0.1,0.1,73,78,14,17,14,15,19,25
AFRICA,EASTERN AFRICA,Seychelles,0.1,17,8,1,-3,0.1,0.1,13.4,2.4,26860,57,64364.0,,,,,68,78,14,18,22,18,8,23
AFRICA,WESTERN AFRICA,Sierra Leone,7.7,33,13,2,-1,9.7,13,84,4.2,1480,41,487.0,17,16,1.1,1.6,51,52,10,10,42,29,3,5
ASIA,SOUTHEAST ASIA,Singapore,5.8,9,5,0.4,11,6.1,6,2.2,1.2,90570,100,1032235.0,,,0.4,0.1,81,85,19,22,15,11,13,34
EUROPE,EASTERN EUROPE,Slovakia,5.4,11,10,0.1,1,5.4,5,4.5,1.5,31360,54,394.0,,,0.1,0.1,74,80,15,19,16,14,16,29
EUROPE,SOUTHERN EUROPE,Slovenia,2.1,10,10,0,1,2.1,1.9,1.8,1.6,33910,55,1123.0,,,0.1,0.1,78,84,18,21,15,14,19,33
OCEANIA,OCEANIA,Solomon Islands,0.7,28,5,2.4,-4,0.8,1.1,25,3.8,2270,24,3421.0,29,24,,,70,73,13,15,39,28,4,8
AFRICA,EASTERN AFRICA,Somalia,15.2,43,11,3.2,-3,21.5,35.9,72,6.3,,45,1380.0,15,14,0.1,0.1,55,58,13,13,47,38,3,3
AFRICA,SOUTHERN AFRICA,South Africa,57.7,21,9,1.2,4,67.9,81.8,36,2.4,13090,66,462.0,55,54,14,23.7,61,67,11,16,30,21,6,11
AFRICA,EASTERN AFRICA,South Sudan,13,37,11,2.6,4,17.9,27.9,69,5,1440,20,,4,2,2,2.9,56,58,13,14,42,32,3,5
EUROPE,SOUTHERN EUROPE,Spain,46.7,8,9,-0.1,4,45.9,44.3,2.8,1.3,38090,80,379.0,71,70,0.6,0.2,80,86,19,23,15,13,19,36
ASIA,SOUTH ASIA,Sri Lanka,21.7,16,6,0.9,-4,22.2,21.5,7,2.1,12470,19,1668.0,62,51,0.1,0.1,72,79,16,18,25,17,8,23
NORTHERN AMERICA,CARIBBEAN,St. Kitts-Nevis,0.1,14,9,0.5,3,0.1,0.1,17,1.8,26300,31,1062.0,,,,,73,78,,,21,,8,
NORTHERN AMERICA,CARIBBEAN,St. Vincent and the Grenadines,0.1,16,9,0.7,-6,0.1,0.1,18,2.1,11770,52,2210.0,,,,,70,75,15,17,24,16,8,19
AFRICA,NORTHERN AFRICA,Sudan,41.7,34,8,2.7,-2,56.8,88.1,45,4.7,4482,36,210.0,12,12,0.2,0.2,63,66,14,15,41,31,4,6
SOUTH AMERICA,SOUTH AMERICA,Suriname,0.6,18,7,1.1,-2,0.6,0.6,16,2.4,14290,66,874.0,48,47,1.3,1.4,68,75,14,17,27,19,7,15
EUROPE,NORTHERN EUROPE,Sweden,10.2,11,9,0.2,10,11.2,12,2.5,1.8,50840,87,395.0,,,,,81,84,19,22,18,17,20,24
